日,平均気圧,降水量,平均気温,平均蒸気圧,平均湿度
1,1010.6,12.5,26.0,29.4,88
2,1009,--,28.9,29.6,75
3,1007.2,--,30.2,29.4,69
4,1004.1,--,31.3,29.1,65
5,1002.1,--,30.4,30.6,71
6,1001.6,4,28.6,31.5,81
7,1003.6,0,29.4,30.7,76
8,1006.1,1,30.1,31.3,74
9,1009.5,8,28.2,34.4,90
10,1009.6,0,29.5,29.9,73
11,1005.1,0,29.5,29.4,72
12,1001.4,--,29.7,29.4,71
13,1002.2,48.5,27.4,34.1,94
14,1002.2,22.5,28.6,34.1,88
15,1002.6,14.5,28.6,33.2,85
16,1003.3,4.5,28.1,32.5,86
17,1004.7,--,29.9,32.2,77
18,1007.2,--,30.0,32.4,77
19,1009.2,0,30.3,32.4,76
20,1009.3,--,30.3,31.0,73
21,1008.8,0,29.8,31.4,76
22,1009.1,10.5,28.6,33.9,87
23,1010.1,2,29.4,33.2,82
24,1010.9,0,29.5,32.4,79
25,1009.2,--,29.6,30.4,74
26,1008.1,3.5,28.1,30.7,81
27,1005.6,1,28.0,29.4,78
28,1005.4,--,29.2,29.6,74
29,1010.6,--,29.4,30.1,74
30,1013.1,--,29.6,30.7,74
31,1014.1,--,29.0,29.4,74
